Text,Topic,Questions
"Operating System Tutorial:Operating System Tutorial provides the basic and advanced concepts of operating system . Our Operating system tutorial is designed for beginners, professionals and GATE aspirants. We have designed this tutorial after the completion of a deep research about every concept.The content is described in detailed manner and has the ability to answer most of your queries. The tutorial also contains the numerical examples based on previous year GATE questions which will help you to address the problems in a practical manner. Operating System can be defined as an interface between user and the hardware. It provides an environment to the user so that, the user can perform its task in convenient and efficient way.The Operating System Tutorial is divided into various parts based on its functions such as Process Management, Process Synchronization, Deadlocks and File Management. Operating System Definition and Function:In the Computer System (comprises of Hardware and software), Hardware can only understand machine code (in the form of 0 and 1) which doesn't make any sense to a naive user.We need a system which can act as an intermediary and manage all the processes and resources present in the system.An Operating System can be defined as an interface between user and hardware. It is responsible for the execution of all the processes, Resource Allocation, CPU management, File Management and many other tasks.The purpose of an operating system is to provide an environment in which a user can execute programs in convenient and efficient manner.Structure of a Computer System :A Computer System consists of:What does an Operating system do?:Operating System Index:Operating System TutorialProcess ManagementSynchronizationDeadlocksMemory ManagementFile ManagementPrerequisites:Before learning the operating system tutorial, you must have the basic knowledge about the way in which a computer system operates.Audience:Our operating system tutorial is designed to help beginners, professionals and GATE aspirants.Problem:We can assure you that you will not find any problem in this operating system tutorial. However, if you find any, you can post the problem in the contact form.",os tutorial,"

Easy Questions:
1. What is an Operating System?
2. What is the purpose of an Operating System?
3. What are the components of a Computer System?

Medium Questions:
1. What are the functions of an Operating System?
2. What are the prerequisites for learning Operating System?
3. What are the topics covered in Operating System Tutorial?

Hard Questions:
1. How does an Operating System manage resources?
2. How does an Operating System provide an environment to the user?
3. What are the challenges faced while designing an Operating System?

Multiple Choice Questions:
1. What is the purpose of an Operating System?
A. To provide an environment to the user
B. To manage resources
C. To execute programs
D. All of the above

2. What are the components of a Computer System?
A. Hardware
B. Software
C. Operating System
D. All of the above

3. What are the topics covered in Operating System Tutorial?
A. Process Management
B. Process Synchronization
C. Deadlocks
D. All of the above"
"Types of Operating Systems (OS):An operating system is a well-organized collection of programs that manages the computer hardware. It is a type of system software that is responsible for the smooth functioning of the computer system.Batch Operating System:In the 1970s, Batch processing was very popular. In this technique, similar types of jobs were batched together and executed in time. People were used to having a single computer which was called a mainframe.In Batch operating system, access is given to more than one person; they submit their respective jobs to the system for the execution. The system put all of the jobs in a queue on the basis of first come first serve and then executes the jobs one by one. The users collect their respective output when all the jobs get executed. The purpose of this operating system was mainly to transfer control from one job to another as soon as the job was completed. It contained a small set of programs called the resident monitor that always resided in one part of the main memory. The remaining part is used for servicing jobs.Advantages of Batch OS:Disadvantages of Batch OS:1. StarvationBatch processing suffers from starvation.For Example:There are five jobs J1, J2, J3, J4, and J5, present in the batch. If the execution time of J1 is very high, then the other four jobs will never be executed, or they will have to wait for a very long time. Hence the other processes get starved.2. Not InteractiveBatch Processing is not suitable for jobs that are dependent on the user's input. If a job requires the input of two numbers from the console, then it will never get it in the batch processing scenario since the user is not present at the time of execution.Multiprogramming Operating System:Multiprogramming is an extension to batch processing where the CPU is always kept busy. Each process needs two types of system time: CPU time and IO time.In a multiprogramming environment, when a process does its I/O, The CPU can start the execution of other processes. Therefore, multiprogramming improves the efficiency of the system.Advantages of Multiprogramming OS:Disadvantages of Multiprogramming OS:Multiprocessing Operating System:In Multiprocessing, Parallel computing is achieved. There are more than one processors present in the system which can execute more than one process at the same time. This will increase the throughput of the system.In Multiprocessing, Parallel computing is achieved. More than one processor present in the system can execute more than one process simultaneously, which will increase the throughput of the system.Advantages of Multiprocessing operating system:Disadvantages of Multiprocessing operating SystemMultitasking Operating System:The multitasking operating system is a logical extension of a multiprogramming system that enables multiple programs simultaneously. It allows a user to perform more than one computer task at the same time.Advantages of Multitasking operating system:Disadvantages of Multitasking operating system:Network Operating System:An Operating system, which includes software and associated protocols to communicate with other computers via a network conveniently and cost-effectively, is called Network Operating System.Advantages of Network Operating System:Disadvantages of Network Operating System:Real Time Operating System:In Real-Time Systems, each job carries a certain deadline within which the job is supposed to be completed, otherwise, the huge loss will be there, or even if the result is produced, it will be completely useless.The Application of a Real-Time system exists in the case of military applications, if you want to drop a missile, then the missile is supposed to be dropped with a certain precision.Advantages of Real-time operating system::Disadvantages of Real-time operating system::Time-Sharing Operating System:In the Time Sharing operating system, computer resources are allocated in a time-dependent fashion to several programs simultaneously. Thus it helps to provide a large number of user's direct access to the main computer. It is a logical extension of multiprogramming. In time-sharing, the CPU is switched among multiple programs given by different users on a scheduled basis.A time-sharing operating system allows many users to be served simultaneously, so sophisticated CPU scheduling schemes and Input/output management are required.Time-sharing operating systems are very difficult and expensive to build.Advantages of Time Sharing Operating System:Disadvantages of Time Sharing Operating System:Distributed Operating System:The Distributed Operating system is not installed on a single machine, it is divided into parts, and these parts are loaded on different machines. A part of the distributed Operating system is installed on each machine to make their communication possible. Distributed Operating systems are much more complex, large, and sophisticated than Network operating systems because they also have to take care of varying networking protocols.Advantages of Distributed Operating System:Disadvantages of Distributed Operating System:",types of operating systems,"

Easy Questions:
1. What is an operating system?
2. What is batch processing?
3. What is multiprogramming?

Medium Questions:
1. What are the advantages of batch operating system?
2. What are the disadvantages of multiprocessing operating system?
3. What is the purpose of a real-time operating system?

Hard Questions:
1. What are the differences between a distributed operating system and a network operating system?
2. What are the challenges of building a time-sharing operating system?
3. How does multitasking operating system improve the efficiency of the system?

Multiple Choice Questions:
1. What is the purpose of a batch operating system?
A. To transfer control from one job to another
B. To provide direct access to the main computer
C. To provide access to multiple users
D. To improve the efficiency of the system

2. What is the main advantage of multiprogramming?
A. Increased throughput
B. Improved efficiency
C. Reduced cost
D. Increased user access

3. What is the main disadvantage of a real-time operating system?
A. High cost
B. Limited user access
C. Missed deadlines
D. Poor performance"
"Process Management in OS:A Program does nothing unless its instructions are executed by a CPU. A program in execution is called a process. In order to accomplish its task, process needs the computer resources.There may exist more than one process in the system which may require the same resource at the same time. Therefore, the operating system has to manage all the processes and the resources in a convenient and efficient way. Some resources may need to be executed by one process at one time to maintain the consistency otherwise the system can become inconsistent and deadlock may occur. The operating system is responsible for the following activities in connection with Process Management",process management in os,".

Easy Questions:
1. What is a program in execution called?
2. What is the purpose of process management in an OS?
3. What is the responsibility of an OS in connection with process management?

Medium Questions:
1. What can happen if the system becomes inconsistent?
2. How does the OS manage processes and resources?
3. What is the importance of executing one process at one time?

Hard Questions:
1. How does the OS prevent deadlock from occurring?
2. What techniques are used to ensure the efficient management of processes and resources?
3. How does the OS ensure the consistency of the system?

Multiple Choice Questions:
1. What is the purpose of process management in an OS?
a. To manage all the processes and resources
b. To execute instructions by a CPU
c. To maintain the consistency of the system
d. To prevent deadlock from occurring

2. What is the responsibility of an OS in connection with process management?
a. To manage all the processes and resources
b. To execute instructions by a CPU
c. To maintain the consistency of the system
d. To prevent deadlock from occurring

3. What can happen if the system becomes inconsistent?
a. Deadlock may occur
b. The system may become efficient
c. The system may become reliable
d. The system may become stable"
"Attributes of a process:The Attributes of the process are used by the Operating System to create the process control block (PCB) for each of them. This is also called context of the process. Attributes which are stored in the PCB are described below.1. Process ID:When a process is created, a unique id is assigned to the process which is used for unique identification of the process in the system.2. Program counter:A program counter stores the address of the last instruction of the process on which the process was suspended. The CPU uses this address when the execution of this process is resumed.3. Process State:The Process, from its creation to the completion, goes through various states which are new, ready, running and waiting. We will discuss about them later in detail.4. Priority:Every process has its own priority. The process with the highest priority among the processes gets the CPU first. This is also stored on the process control block.5. General Purpose Registers:Every process has its own set of registers which are used to hold the data which is generated during the execution of the process.6. List of open files:During the Execution, Every process uses some files which need to be present in the main memory. OS also maintains a list of open files in the PCB.7. List of open devices:OS also maintain the list of all open devices which are used during the execution of the process.",os attributes of a process,"

Easy Questions:
1. What is a Process Control Block?
2. What is the purpose of a Program Counter?
3. What is the purpose of Priority in a Process?

Medium Questions:
1. What are the different states of a Process?
2. What is the purpose of General Purpose Registers?
3. What is the purpose of a List of Open Files?

Hard Questions:
1. How does the Operating System assign a unique ID to a Process?
2. How does the Operating System determine which Process has the highest Priority?
3. How does the Operating System maintain a List of Open Devices?

Multiple Choice Questions:
1. What is the purpose of a Program Counter?
A. To store the address of the last instruction of the process
B. To store the data generated during the execution of the process
C. To store the unique ID of the process
D. To store the priority of the process

2. What is the purpose of Priority in a Process?
A. To store the address of the last instruction of the process
B. To store the data generated during the execution of the process
C. To store the unique ID of the process
D. To determine which process gets the CPU first

3. How does the Operating System maintain a List of Open Devices?
A. By assigning a unique ID to each device
B. By assigning a priority to each device
C. By storing the address of the last instruction of the process
D. By storing the data generated during the execution of the process"
"Process States:State DiagramThe process, from its creation to completion, passes through various states. The minimum number of states is five.The names of the states are not standardized although the process may be in one of the following states during execution.1. New:A program which is going to be picked up by the OS into the main memory is called a new process.2. Ready:Whenever a process is created, it directly enters in the ready state, in which, it waits for the CPU to be assigned. The OS picks the new processes from the secondary memory and put all of them in the main memory. The processes which are ready for the execution and reside in the main memory are called ready state processes. There can be many processes present in the ready state.3. Running:One of the processes from the ready state will be chosen by the OS depending upon the scheduling algorithm. Hence, if we have only one CPU in our system, the number of running processes for a particular time will always be one. If we have n processors in the system then we can have n processes running simultaneously.4. Block or wait:From the Running state, a process can make the transition to the block or wait state depending upon the scheduling algorithm or the intrinsic behavior of the process. When a process waits for a certain resource to be assigned or for the input from the user then the OS move this process to the block or wait state and assigns the CPU to the other processes. 5. Completion or termination:When a process finishes its execution, it comes in the termination state. All the context of the process (Process Control Block) will also be deleted the process will be terminated by the Operating system.6. Suspend ready:A process in the ready state, which is moved to secondary memory from the main memory due to lack of the resources (mainly primary memory) is called in the suspend ready state.If the main memory is full and a higher priority process comes for the execution then the OS have to make the room for the process in the main memory by throwing the lower priority process out into the secondary memory. The suspend ready processes remain in the secondary memory until the main memory gets available. 7. Suspend wait:Instead of removing the process from the ready queue, it's better to remove the blocked process which is waiting for some resources in the main memory. Since it is already waiting for some resource to get available hence it is better if it waits in the secondary memory and make room for the higher priority process. These processes complete their execution once the main memory gets available and their wait is finished.Operations on the Process:1. Creation:Once the process is created, it will be ready and come into the ready queue (main memory) and will be ready for the execution.2. Scheduling:Out of the many processes present in the ready queue, the Operating system chooses one process and start executing it. Selecting the process which is to be executed next, is known as scheduling. 3. Execution:Once the process is scheduled for the execution, the processor starts executing it. Process may come to the blocked or wait state during the execution then in that case the processor starts executing the other processes. 4. Deletion/killing:Once the purpose of the process gets over then the OS will kill the process. The Context of the process (PCB) will be deleted and the process gets terminated by the Operating system.",os process states,"

Easy Questions:
1. What is the minimum number of states a process can have?
2. What is the name of the state when a process is ready for execution?
3. What is the name of the state when a process is waiting for a certain resource to be assigned?

Medium Questions:
1. What is the purpose of scheduling a process?
2. What is the name of the state when a process is moved to secondary memory from the main memory due to lack of resources?
3. What happens to the context of the process when it is deleted or killed?

Hard Questions:
1. What is the difference between suspend ready and suspend wait states?
2. How does the Operating System decide which process to execute next?
3. What is the difference between a new process and a ready process?

Multiple Choice Questions:
1. What is the name of the state when a process is ready for execution?
A. New
B. Ready
C. Running
D. Block or Wait

2. What is the purpose of scheduling a process?
A. To select the process which is to be executed next
B. To move the process from the ready queue to the block or wait state
C. To move the process from the main memory to the secondary memory
D. To delete the context of the process

3. What happens to the context of the process when it is deleted or killed?
A. It is moved to the secondary memory
B. It is moved to the ready queue
C. It is moved to the block or wait state
D. It is deleted"
"Process Scheduling in OS (Operating System):Operating system uses various schedulers for the process scheduling described below.1. Long term scheduler:Long term scheduler is also known as job scheduler. It chooses the processes from the pool (secondary memory) and keeps them in the ready queue maintained in the primary memory.Long Term scheduler mainly controls the degree of Multiprogramming. The purpose of long term scheduler is to choose a perfect mix of IO bound and CPU bound processes among the jobs present in the pool.If the job scheduler chooses more IO bound processes then all of the jobs may reside in the blocked state all the time and the CPU will remain idle most of the time. This will reduce the degree of Multiprogramming. Therefore, the Job of long term scheduler is very critical and may affect the system for a very long time.2. Short term scheduler:Short term scheduler is also known as CPU scheduler. It selects one of the Jobs from the ready queue and dispatch to the CPU for the execution.A scheduling algorithm is used to select which job is going to be dispatched for the execution. The Job of the short term scheduler can be very critical in the sense that if it selects job whose CPU burst time is very high then all the jobs after that, will have to wait in the ready queue for a very long time.This problem is called starvation which may arise if the short term scheduler makes some mistakes while selecting the job.3. Medium term scheduler:Medium term scheduler takes care of the swapped out processes.If the running state processes needs some IO time for the completion then there is a need to change its state from running to waiting.Medium term scheduler is used for this purpose. It removes the process from the running state to make room for the other processes. Such processes are the swapped out processes and this procedure is called swapping. The medium term scheduler is responsible for suspending and resuming the processes.It reduces the degree of multiprogramming. The swapping is necessary to have a perfect mix of processes in the ready queue.",os process schedulers,"

Easy Questions:
1. What is the purpose of the long term scheduler?
2. What is the purpose of the short term scheduler?
3. What is the purpose of the medium term scheduler?

Medium Questions:
1. What is the effect of the long term scheduler on the degree of multiprogramming?
2. What is the effect of the short term scheduler on the ready queue?
3. What is the effect of the medium term scheduler on the degree of multiprogramming?

Hard Questions:
1. What is the impact of the long term scheduler on the system performance?
2. What is the impact of the short term scheduler on the system performance?
3. What is the impact of the medium term scheduler on the system performance?

Multiple Choice Questions:
1. What is the purpose of the long term scheduler?
a. To select one of the jobs from the ready queue
b. To choose a perfect mix of IO bound and CPU bound processes
c. To reduce the degree of multiprogramming
d. To suspend and resume processes

2. What is the purpose of the short term scheduler?
a. To select one of the jobs from the ready queue
b. To choose a perfect mix of IO bound and CPU bound processes
c. To reduce the degree of multiprogramming
d. To suspend and resume processes

3. What is the purpose of the medium term scheduler?
a. To select one of the jobs from the ready queue
b. To choose a perfect mix of IO bound and CPU bound processes
c. To reduce the degree of multiprogramming
d. To suspend and resume processes"
"Process Queues:The Operating system manages various types of queues for each of the process states. The PCB related to the process is also stored in the queue of the same state. If the Process is moved from one state to another state then its PCB is also unlinked from the corresponding queue and added to the other state queue in which the transition is made.There are the following queues maintained by the Operating system.1. Job Queue:In starting, all the processes get stored in the job queue. It is maintained in the secondary memory. The long term scheduler (Job scheduler) picks some of the jobs and put them in the primary memory.2. Ready Queue:Ready queue is maintained in primary memory. The short term scheduler picks the job from the ready queue and dispatch to the CPU for the execution.3. Waiting Queue:When the process needs some IO operation in order to complete its execution, OS changes the state of the process from running to waiting. The context (PCB) associated with the process gets stored on the waiting queue which will be used by the Processor when the process finishes the IO.",os process queues,"

Easy Questions:
1. What is a Process Queue?
2. What is a PCB?
3. What is the purpose of the Job Queue?

Medium Questions:
1. What is the difference between the Job Queue and Ready Queue?
2. What is the role of the Long Term Scheduler?
3. What is the purpose of the Waiting Queue?

Hard Questions:
1. How does the Operating System manage the Process Queues?
2. How does the Operating System move a Process from one state to another?
3. What is the difference between the Long Term Scheduler and the Short Term Scheduler?

Multiple Choice Questions:
1. What is the purpose of the Job Queue?
A. To store processes in primary memory
B. To store processes in secondary memory
C. To pick processes from the ready queue
D. To dispatch processes to the CPU

Answer: B

2. What is the role of the Long Term Scheduler?
A. To store processes in primary memory
B. To store processes in secondary memory
C. To pick processes from the ready queue
D. To dispatch processes to the CPU

Answer: C

3. How does the Operating System move a Process from one state to another?
A. By unlink the PCB from the corresponding queue
B. By linking the PCB to the corresponding queue
C. By adding the PCB to the other state queue
D. By removing the PCB from the other state queue

Answer: A"
"Various Times related to the Process:1. Arrival Time:The time at which the process enters into the ready queue is called the arrival time.2. Burst Time:The total amount of time required by the CPU to execute the whole process is called the Burst Time. This does not include the waiting time. It is confusing to calculate the execution time for a process even before executing it hence the scheduling problems based on the burst time cannot be implemented in reality. 3. Completion Time:The Time at which the process enters into the completion state or the time at which the process completes its execution, is called completion time. 4. Turnaround time:The total amount of time spent by the process from its arrival to its completion, is called Turnaround time.5. Waiting Time:The Total amount of time for which the process waits for the CPU to be assigned is called waiting time.6. Response Time:The difference between the arrival time and the time at which the process first gets the CPU is called Response Time.",os various time related to the process,"

Easy Questions:
1. What is the Arrival Time?
2. What is the Burst Time?
3. What is the Completion Time?

Medium Questions:
1. What is the difference between Burst Time and Waiting Time?
2. How can scheduling problems based on Burst Time be implemented in reality?
3. What is the Turnaround Time?

Hard Questions:
1. How can the Response Time be calculated?
2. What is the relationship between Arrival Time and Response Time?
3. How can the Waiting Time be minimized?

Multiple Choice Questions:
1. What is the total amount of time spent by the process from its arrival to its completion?
A. Arrival Time
B. Burst Time
C. Completion Time
D. Turnaround Time

2. What is the difference between the arrival time and the time at which the process first gets the CPU?
A. Burst Time
B. Completion Time
C. Turnaround Time
D. Response Time

3. What is the total amount of time required by the CPU to execute the whole process?
A. Arrival Time
B. Burst Time
C. Completion Time
D. Waiting Time"
"CPU Scheduling:In the uniprogrammming systems like MS DOS, when a process waits for any I/O operation to be done, the CPU remains idol. This is an overhead since it wastes the time and causes the problem of starvation. However, In Multiprogramming systems, the CPU doesn't remain idle during the waiting time of the Process and it starts executing other processes. Operating System has to define which process the CPU will be given.In Multiprogramming systems, the Operating system schedules the processes on the CPU to have the maximum utilization of it and this procedure is called CPU scheduling. The Operating System uses various scheduling algorithm to schedule the processes. This is a task of the short term scheduler to schedule the CPU for the number of processes present in the Job Pool. Whenever the running process requests some IO operation then the short term scheduler saves the current context of the process (also called PCB) and changes its state from running to waiting. During the time, process is in waiting state; the Short term scheduler picks another process from the ready queue and assigns the CPU to this process. This procedure is called context switching. What is saved in the Process Control Block?:The Operating system maintains a process control block during the lifetime of the process. The Process control block is deleted when the process is terminated or killed. There is the following information which is saved in the process control block and is changing with the state of the process.Why do we need Scheduling?:In Multiprogramming, if the long term scheduler picks more I/O bound processes then most of the time, the CPU remains idol. The task of Operating system is to optimize the utilization of resources. If most of the running processes change their state from running to waiting then there may always be a possibility of deadlock in the system. Hence to reduce this overhead, the OS needs to schedule the jobs to get the optimal utilization of CPU and to avoid the possibility to deadlock.",os cpu scheduling,"

Easy Questions:
1. What is CPU scheduling?
2. What is the purpose of scheduling?
3. What is a Process Control Block?

Medium Questions:
1. What is the difference between uniprogramming and multiprogramming systems?
2. What is the role of the short term scheduler?
3. What is context switching?

Hard Questions:
1. What is the impact of scheduling on system performance?
2. How does the Operating System decide which process to schedule?
3. What are the different scheduling algorithms used by the Operating System?

Multiple Choice Questions:
1. What is the purpose of scheduling?
A. To optimize the utilization of resources
B. To reduce overhead
C. To avoid deadlock
D. All of the above

2. What is the role of the short term scheduler?
A. To pick more I/O bound processes
B. To save the current context of the process
C. To assign the CPU to a process
D. All of the above

3. What is saved in the Process Control Block?
A. The current context of the process
B. The state of the process
C. The lifetime of the process
D. All of the above"
"Scheduling Algorithms in OS (Operating System):There are various algorithms which are used by the Operating System to schedule the processes on the processor in an efficient way. The Purpose of a Scheduling algorithm :There are the following algorithms which can be used to schedule the jobs.1. First Come First Serve:It is the simplest algorithm to implement. The process with the minimal arrival time will get the CPU first. The lesser the arrival time, the sooner will the process gets the CPU. It is the non-preemptive type of scheduling.2. Round Robin:In the Round Robin scheduling algorithm, the OS defines a time quantum (slice). All the processes will get executed in the cyclic way. Each of the process will get the CPU for a small amount of time (called time quantum) and then get back to the ready queue to wait for its next turn. It is a preemptive type of scheduling. 3. Shortest Job First:The job with the shortest burst time will get the CPU first. The lesser the burst time, the sooner will the process get the CPU. It is the non-preemptive type of scheduling. 4. Shortest remaining time first:It is the preemptive form of SJF. In this algorithm, the OS schedules the Job according to the remaining time of the execution.5. Priority based scheduling:In this algorithm, the priority will be assigned to each of the processes. The higher the priority, the sooner will the process get the CPU. If the priority of the two processes is same then they will be scheduled according to their arrival time.6. Highest Response Ratio Next:In this scheduling Algorithm, the process with highest response ratio will be scheduled next. This reduces the starvation in the system. ",os scheduling algorithms,"

Easy Questions:
1. What is the purpose of scheduling algorithms in OS?
2. What is the First Come First Serve algorithm?
3. What is the time quantum in Round Robin scheduling?

Medium Questions:
1. What is the difference between preemptive and non-preemptive scheduling?
2. What is the difference between SJF and SRTF scheduling?
3. What is the Highest Response Ratio Next scheduling algorithm?

Hard Questions:
1. How does the Priority based scheduling algorithm work?
2. How does the Highest Response Ratio Next scheduling algorithm reduce starvation?
3. What are the advantages and disadvantages of the First Come First Serve scheduling algorithm?

Multiple Choice Questions:
1. What type of scheduling algorithm is First Come First Serve?
a. Preemptive
b. Non-preemptive
c. Priority based
d. Round Robin

2. What type of scheduling algorithm is Shortest Job First?
a. Preemptive
b. Non-preemptive
c. Priority based
d. Round Robin

3. What type of scheduling algorithm is Highest Response Ratio Next?
a. Preemptive
b. Non-preemptive
c. Priority based
d. Round Robin"
